Timestamp,number_of_viruses,number_of_cells,number_of_dead_cells
57774,1,91,9
57836,1,91,9
57900,1,91,9
57964,1,91,9
58030,1,91,9
58092,1,91,9
58156,1,91,9
58217,1,91,9
58280,1,91,9
58344,1,91,9
58408,1,91,9
58470,1,91,9
58534,1,91,9
58597,1,91,9
58660,1,91,9
58723,1,91,9
58786,1,91,9
58850,1,91,9
58913,1,91,9
58977,1,91,9
59039,1,91,9
59102,1,91,9
59165,1,91,9
59229,1,91,9
59292,1,91,9
59354,1,91,9
59418,1,91,9
59480,1,91,9
59544,1,91,9
59607,1,91,9
59670,1,91,9
59733,1,91,9
59797,1,91,9
59861,1,91,9
59925,1,91,9
59988,1,91,9
60050,1,91,9
60114,1,91,9
60177,1,91,9
60241,1,91,9
60302,1,91,9
60364,1,91,9
60428,1,91,9
60491,1,91,9
60555,1,91,9
60618,1,91,9
60682,1,91,9
60746,1,91,9
60809,1,91,9
60872,1,91,9
60935,1,91,9
60997,1,91,9
61061,1,91,9
61124,1,91,9
61187,1,91,9
61256,1,91,9
61312,1,91,9
61375,1,91,9
61439,1,91,9
61502,1,91,9
61565,1,91,9
61627,1,91,9
61691,1,91,9
61753,1,91,9
61817,1,91,9
61881,1,91,9
61944,1,91,9
62007,1,91,9
62070,1,91,9
62134,1,91,9
62198,1,91,9
62261,1,91,9
62324,1,91,9
62386,1,91,9
62450,1,91,9
62524,1,91,9
62576,1,91,9
62639,1,91,9
62702,1,91,9
62765,1,91,9
62829,1,91,9
62891,1,91,9
62955,1,91,9
63018,1,91,9
63081,1,91,9
63143,1,91,9
63206,1,91,9
63270,1,91,9
63332,1,91,9
63397,1,91,9
63462,1,91,9
63522,1,91,9
63585,1,91,9
63648,1,91,9
63712,1,91,9
63773,1,91,9
63838,1,91,9
63901,1,91,9
63964,1,91,9
64029,1,91,9
64092,1,91,9
64156,1,91,9
64218,1,91,9
64283,1,91,9
64346,1,91,9
64410,1,91,9
64473,1,91,9
64535,1,91,9
64598,1,91,9
64662,1,91,9
64725,1,91,9
64789,1,91,9
64851,1,91,9
64914,1,91,9
64979,1,91,9
65043,1,91,9
65106,1,91,9
65169,1,91,9
65232,1,91,9
65300,0,91,9
